,FIGHTER,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,FIGHTER_ID
148,Isabela de Padua,Record: 5-2-0,"5' 3""",125 lbs.,"64""",Orthodox,"Sep 04, 1991",1.0,35%,2.07,50%,2.0,66%,0%,1.0,e0f959f65d0406b4
149,Gloria de Paula,Record: 4-2-0,"5' 5""",115 lbs.,"65.7""",--,"Jun 10, 1995",0.0,0%,0.0,0%,0.0,0%,0%,0.0,5dd180c8b3196786
150,Germaine de Randamie,Record: 10-4-0,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",2.72,46%,2.14,65%,0.0,0%,69%,0.4,1d239d571e342453
151,Crezio de Souza,Record: 1-2-0,--,170 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,3746e21bb508391a
152,Tom DeBlass,Record: 9-2-0,"6' 0""",185 lbs.,"75""",Orthodox,"May 14, 1982",1.5,35%,4.43,37%,1.0,50%,28%,0.5,0bcfe2513cb3bc39
153,Issac DeJesus,Record: 12-7-1 (1 NC),--,145 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0e2c2daf11b5d8f2
154,Rafael  Del Real,Record: 6-20-0,"5' 11""",225 lbs.,--,--,--,5.58,40%,0.0,0%,20.93,100%,100%,0.0,e82b2adcaeff71ec
155,Shane del Rosario,Record: 11-2-0,"6' 4""",250 lbs.,"79""",Southpaw,"Sep 23, 1983",3.93,60%,2.97,54%,1.2,40%,16%,2.4,85980f5da429c0a6
156,Humberto DeLeon,Record: 7-7-0,"5'4""",135 lbs.,"67.0""",--,"Nov 12, 1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0,bfaf4c87936b4fae
157,Rolando Delgado,Record: 11-6-1,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",1.56,40%,1.83,62%,1.17,22%,0%,3.5,37b1696e6d115957
158,Israel Delgado,Record: 0-2-0,"5' 10""",155 lbs.,--,--,1985.11.22,0.0,0%,0.0,0%,0.0,0%,0%,0.0,01f4bcd26ac08ad5
159,Ante Delija,Record: 17-3-0,"6' 4""",245 lbs.,"79.0""",Orthodox,"Aug 07, 1990",0.0,0%,0.0,0%,0.0,0%,0%,0.0,7d8435c56043b0ae
160,Roland Delorme,Record: 9-5-0 (1 NC),"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",2.28,44%,4.32,40%,2.51,34%,42%,1.6,173acb3f920082b8
161,Jon Delos Reyes,Record: 8-5-0,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",2.99,38%,4.14,51%,3.2,83%,55%,1.9,0d0351c20169a499
162,Jason DeLucia,Record: 33-21-1,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969",0.0,0%,0.0,0%,0.0,0%,0%,0.0,6ceff86fae4f6b3b
163,Justin DeMoney,Record: 15-7-1,"5'11""",170 lbs.,--,--,"Jul 01, 1985",0.0,0%,0.0,0%,0.0,0%,0%,0.0,985bca5a097fb3f4
164,Vanessa Demopoulos,Record: 5-2-0,"5' 2""",115 lbs.,"59""",Orthodox,"Sep 22, 1988",1.6,41%,3.13,50%,0.0,0%,0%,2.0,2c483cf443f38ece
165,Chris Dempsey,Record: 11-5-0,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",2.25,32%,2.82,65%,2.64,23%,16%,0.0,dfae5da5676e4194
166,Nick Denis,Record: 11-3-0,"5' 7""",135 lbs.,"70.0""",Orthodox,"Oct 11, 1983",6.54,53%,5.42,36%,2.8,100%,80%,0.0,e4aaaa34535e32b6
167,Thomas Denny,Record: 27-21-1,"5' 10""",170 lbs.,--,Orthodox,"Apr 19, 1971",2.36,45%,4.69,40%,1.48,17%,42%,1.5,a11a6ee8eeb03c18
168,Robert Densley,Record: 9-10-0,"5' 9""",155 lbs.,--,--,--,1.81,47%,0.4,60%,0.0,0%,50%,0.0,b72f3cafa6376e35
169,Jason Dent,Record: 22-13-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 12, 1980",2.01,39%,3.7,62%,0.0,0%,26%,1.4,fa8b9e6b0c2269f8
170,Mackenzie Dern,Record: 9-1-0,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.07,33%,3.66,64%,0.39,7%,0%,3.1,7447e9f28508106a
171,Booker DeRousse,Record: 6-5-0,"6' 2""",205 lbs.,--,--,"Mar 23, 1981",0.0,0%,0.0,0%,0.0,0%,0%,0.0,f2c91b67f71bbeab
172,Tony DeSouza,Record: 11-4-0,"6' 0""",170 lbs.,"70""",Southpaw,"Jul 26, 1974",1.12,52%,1.57,41%,2.25,42%,40%,1.5,6ad9058b7c7898b0
173,Cory Devela,Record: 16-7-0,"5' 0""",185 lbs.,"76.5""",Orthodox,1984.08.05,4.07,41%,4.0,47%,1.07,12%,62%,0.0,48544433372ecfa6
174,John Devine,Record: 6-4-0,"6'4""",247.4 lbs,"78.0""",--,--,1.52,18%,2.28,57%,0.0,0%,0%,0.0,2bcc39af95d6f2e8
175,Edwin DeWees,Record: 38-17-0 (1 NC),"6' 1""",185 lbs.,--,Orthodox,"Aug 07, 1982",1.53,33%,6.19,39%,2.18,66%,0%,3.3,75bbd2206a15319f
176,Alessio Di Chirico,Record: 12-5-0,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989",3.25,40%,3.28,62%,1.66,45%,83%,0.0,77d7295d1b22c694
177,Micol Di Segni,Record: 7-3-0,"5' 3""",115 lbs.,"60""",Orthodox,"Dec 29, 1987",7.47,40%,5.87,33%,0.0,0%,37%,0.0,8126e4dff0cdf69e
178,Cyrille Diabate,Record: 19-10-1,"6' 6""",205 lbs.,"81""",Southpaw,"Oct 06, 1973",4.06,71%,1.78,60%,1.17,83%,53%,0.2,43563a32c3f10e95
179,Thomas Diagne,Record: 6-6-1,"6' 1""",154 lbs.,"76.0""",--,"Sep 03, 1983",4.53,48%,4.53,63%,2.0,100%,66%,0.0,8567466ae167216b
180,Marc Diakiese,Record: 14-4-0,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 16, 1993",3.08,39%,2.79,54%,2.16,36%,62%,0.0,32c355b04fc57f3a
181,Tyler Diamond,Record: 9-1-0,"5' 7""",145 lbs.,"69""",Orthodox,"Mar 18, 1991",3.4,47%,2.53,44%,3.0,75%,70%,0.0,f5f6419c5f00abad
182,Eldo Xavier Dias,Record: 0-1-0,"5' 11""",180 lbs.,--,--,"Jul 16, 1964",0.0,0%,0.0,0%,0.0,0%,0%,0.0,ee5df903f80c6816
183,Rafael Dias,Record: 17-12-2,"5' 9""",145 lbs.,--,Orthodox,"Oct 20, 1979",1.13,27%,2.19,60%,3.17,47%,100%,1.2,b5abaa65f87938eb
184,Hacran Dias,Record: 23-6-1,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984",2.08,41%,3.31,55%,2.5,39%,76%,0.5,ed209f6618c82e41
185,Nick Diaz,Record: 26-9-0 (2 NC),"6' 1""",185 lbs.,"76""",Southpaw,"Aug 02, 1983",5.43,42%,3.56,61%,1.32,33%,60%,1.0,f57a8a52ca401ed9
186,Nate Diaz,Record: 21-12-0,"6' 0""",170 lbs.,"76""",Southpaw,"Apr 16, 1985",4.62,45%,3.78,53%,1.19,30%,42%,1.4,8355922d564b152c
187,Michael Diaz,Record: 1-2-0,--,260 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,5e7a48e469770615
188,Ryan Diaz,Record: 13-14-0,"5'7""",145 lbs.,--,--,1979.02.06,0.0,0%,0.0,0%,0.0,0%,0%,0.0,ceee5dd37253199a
189,Adrian Diaz,Record: 11-4-1,"5' 10""",145 lbs.,"71""",Southpaw,"Apr 26, 1988",0.48,42%,3.84,51%,2.4,50%,0%,0.0,bfa8f263815cfa2e
190,Mark Dickman,Record: 11-3-0,"5' 9""",145 lbs.,"75.5""",--,"Jul 19, 1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2482ef3331a82e75
191,Josh Diekmann,Record: 15-8-0 (1 NC),"5' 4""",246 lbs.,"73.0""",--,"Oct 09, 1976",0.28,5%,8.17,25%,0.0,0%,0%,0.0,414bddf0c80c41e1
192,Kyle Dietz,Record: 5-2-0,"5' 8""",135 lbs.,--,Orthodox,"Apr 29, 1986",1.82,45%,2.08,62%,0.0,0%,0%,0.0,31da66df48c0c1a0
193,Seth Dikun,Record: 9-8-0,"5' 10""",135 lbs.,"69""",Orthodox,"Aug 05, 1980",1.45,26%,2.18,55%,0.0,0%,45%,0.9,eb42d4febfafefd1
194,TJ Dillashaw,Record: 17-4-0,"5' 6""",125 lbs.,"67""",Orthodox,"Feb 07, 1986",5.37,41%,3.03,65%,1.68,37%,86%,1.0,c849740a3ff51931
195,Ralph Dillon,Record: 0-2-1,"6' 2""",205 lbs.,--,Orthodox,--,0.34,14%,0.69,60%,0.0,0%,0%,0.0,b4f7a2d8ecc5e0c3
196,Drew Dimanlig,Record: 3-4-0,"6'0""",185 lbs.,--,--,--,3.7,73%,3.17,20%,0.0,0%,0%,0.0,cc2ad11b1f9d818b
197,Rodolfo Marques Diniz,Record: 23-9-1,"5' 6""",135 lbs.,--,--,"Jan 23, 1984",1.08,32%,2.36,33%,0.0,0%,50%,1.8,2d2239d0f6fa83dd
198,Helio Dipp,Record: 6-3-0,"6' 5""",185 lbs.,--,Orthodox,1979.12.12,0.6,25%,1.8,62%,0.0,0%,50%,0.0,73eb2a552c92a821
199,Rico DiSciullo,Record: 9-2-0 (1 NC),"5' 8""",135 lbs.,"71""",Orthodox,"Oct 12, 1986",1.71,33%,4.41,56%,0.0,0%,0%,0.0,ec7f7263bf36579b
200,Matt Dixon,Record: 9-1-0,"5' 10""",170 lbs.,"75""",Switch,"Oct 09, 1995",1.97,43%,4.56,37%,3.06,30%,0%,0.0,1db445a4468447d0
201,John Dixson,Record: 15-22-0,"6' 0""",275 lbs.,--,Orthodox,1961.10.15,0.0,0%,0.0,0%,0.0,0%,0%,0.0,ad4e9055bf8cd04d
202,Anthony Do,Record: 4-2-0,"5' 4""",125 lbs.,--,--,1993.04.11,0.0,0%,0.0,0%,0.0,0%,0%,0.0,7c9aeba0c4d4bd78
203,Russell Doane,Record: 15-8-0,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",1.75,40%,1.68,53%,2.11,45%,52%,0.8,f50d95223751e6ca
204,Drew Dober,Record: 23-9-0 (1 NC),"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.66,40%,4.12,55%,0.88,17%,58%,0.1,519e4fe37ce9ff75
205,Shana Dobson,Record: 4-4-0,"5' 6""",125 lbs.,"69""",Orthodox,"Mar 30, 1989",3.63,36%,5.11,53%,1.0,50%,0%,0.0,122ac9b816d8b71c
206,David Dodd,Record: 4-7-0,"6' 2""",200 lbs.,--,Orthodox,"Sep 22, 1973",0.0,0%,0.0,0%,0.0,0%,0%,0.0,c2a7623f398d9bd7
207,John Dodson,Record: 22-12-0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",3.2,40%,3.58,61%,0.71,28%,82%,0.0,99506df1af6c8b3b
208,Joe Doerksen,Record: 51-16-0,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 09, 1977",1.43,42%,2.79,50%,2.02,33%,33%,2.3,dbaaf42313af90fa
209,Mike Dolce,Record: 5-10-0,"5' 11""",185 lbs.,--,--,"Apr 15, 1976",0.0,0%,0.0,0%,0.0,0%,0%,0.0,29b5791e51e7e832
210,Roman Dolidze,Record: 7-0-0,"6' 2""",205 lbs.,"76""",Orthodox,"Jul 15, 1988",4.47,86%,0.94,71%,0.0,0%,0%,0.0,327d5f279895110d
211,Cameron Dollar,Record: 11-5-0,"5' 11""",155 lbs.,"71.5""",Orthodox,"May 12, 1987",5.04,38%,2.94,61%,0.0,0%,0%,0.0,3bbcd63a016d9715
212,CB Dollaway,Record: 17-9-0,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983",2.65,47%,2.58,54%,3.55,54%,62%,1.2,5d7bdab5e03e3216
213,Dennis Dombrow,Record: 7-5-0 (1 NC),"5'7""",145 lbs.,--,--,"Mar 17, 1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,4145caa2c999fbac
214,OJ Dominguez,Record: 0-1-0,--,--,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,1a50e734bb54861a
215,John Donaldson,Record: 2-2-0,"5' 8""",145 lbs.,--,--,"Jul 09, 1992",1.21,23%,4.22,51%,0.0,0%,0%,0.0,1c610f900f9884ab
216,Cody Donovan,Record: 8-5-0,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981",5.61,59%,5.44,45%,1.67,28%,0%,1.7,7bc96507e4b38d3b
217,Houston Dorr,Record: 1-2-0,"6' 1""",210 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,312f47c3d2f83ffa
218,Rafael Dos Anjos,Record: 29-13-0,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984",3.47,45%,3.18,62%,1.82,39%,58%,0.6,6a2f7c151031653d
219,Junior Dos Santos,Record: 21-8-0,"6' 4""",238 lbs.,"77""",Orthodox,"Jan 30, 1984",4.59,48%,3.19,57%,0.31,55%,81%,0.1,63def5a5662a6917
220,Geronimo dos Santos,Record: 39-19-0,"6' 3""",264 lbs.,--,Orthodox,"Aug 17, 1980",1.09,33%,8.73,41%,0.0,0%,33%,0.0,b51f6791c794e289
221,Antonio Dos Santos,Record: 6-4-0,"5' 10""",185 lbs.,"72""",Orthodox,"Jul 21, 1988",5.4,51%,3.94,43%,0.0,0%,100%,0.0,81b8b3fb019dc69d
222,Anderson Dos Santos,Record: 20-8-0,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985",2.7,26%,5.23,56%,1.0,20%,80%,0.5,bbc9ab95fa766493
223,Tiago dos Santos e Silva,Record: 20-7-2 (1 NC),"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",3.69,35%,4.23,59%,0.63,11%,33%,0.3,8ce87f7e3a9baed2
224,Oleksandr Doskalchuk,Record: 10-2-0,"5' 6""",125 lbs.,--,Southpaw,"Mar 13, 1990",0.0,0%,0.0,0%,0.0,0%,0%,0.0,86cb6f5b1ca98dc0
225,David Douglas,Record: 9-7-0,"5' 11""",155 lbs.,"74.0""",--,"Aug 16, 1981",0.0,0%,0.0,0%,0.0,0%,0%,0.0,7cf0944b88966118
226,Damion Douglas,Record: 4-1-0,"6'0""",170 lbs.,"71.5""",--,1982.08.16,0.0,0%,0.0,0%,0.0,0%,0%,0.0,ce3b669e39418414
227,John Dowdy,Record: 0-1-0,--,--,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,e780ccc79a209985
228,Jordan Dowdy,Record: 4-3-0,"6'1""",170 lbs.,"74.5""",--,1986.05.23,2.11,44%,2.63,50%,0.0,0%,0%,0.0,0d9312337fdce39a
229,Danny Downes,Record: 8-3-0,"6' 0""",155 lbs.,"72""",Orthodox,"Apr 08, 1986",1.66,34%,3.53,37%,0.0,0%,37%,0.5,a66395395b5f1394
230,Derek Downey,Record: 11-4-0,"6' 1""",185 lbs.,--,Orthodox,"Apr 27, 1980",0.32,100%,3.36,12%,2.4,16%,0%,0.0,b05086131c6f5dc5
231,John Doyle,Record: 11-22-0 (1 NC),"5' 11""",205 lbs.,--,Orthodox,"Nov 21, 1976",3.5,44%,10.51,27%,0.0,0%,0%,0.0,0509b954421bb327
232,Edson Drago,Record: 11-7-0,"6' 4""",220 lbs.,--,Orthodox,"Aug 29, 1977",1.16,40%,2.39,36%,0.0,0%,55%,0.0,f9c7fe2682af3802
233,Kyle Driscoll,Record: 12-3-0,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994",2.73,32%,2.6,58%,2.0,18%,0%,0.0,e5e148d4363deff8
234,Chris Drumm,Record: 0-1-0 (1 NC),"5' 8""",145 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,5fd834edd92c9e50
235,Tomasz Drwal,Record: 21-5-1,"6' 1""",205 lbs.,"76""",Orthodox,"Jan 22, 1982",3.29,38%,2.26,57%,3.55,60%,82%,0.4,679a9054e2815943
236,Robert Drysdale,Record: 7-0-0 (1 NC),"6' 3""",205 lbs.,"78""",Orthodox,"Oct 05, 1981",0.0,0%,0.0,0%,7.32,100%,0%,21.9,d2a9be6bf2de624c
237,Dricus Du Plessis,Record: 15-2-0,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",7.72,44%,4.16,67%,0.0,0%,0%,0.0,0d7b51c9d2649a6e
238,Hugo Duarte,Record: 6-3-0,"6' 0""",240 lbs.,--,Orthodox,"Aug 09, 1968",0.0,0%,0.0,0%,0.0,0%,0%,0.0,706404da0775dcbc
239,Antonio Duarte,Record: 19-7-0,"5' 7""",135 lbs.,"68.5""",--,1987.03.10,4.55,40%,4.18,57%,0.0,0%,60%,0.0,29b5d32584e02d8d
240,Joe Duarte,Record: 10-4-0,"5'9""",155 lbs.,"68.0""",--,"Jan 25, 1977",2.27,38%,4.0,53%,3.0,50%,69%,1.0,454c3e9d4cd4a1b3
241,Milana Dudieva,Record: 11-6-0,"5' 3""",135 lbs.,"61""",Orthodox,"Aug 04, 1989",0.87,31%,3.43,58%,2.34,45%,0%,0.0,072a10e85f7d4bff
242,Adin Duenas,Record: 6-1-0,"5' 6""",145 lbs.,"70.0""",--,"Jul 02, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0,cb6c45b26b0a877a
243,Todd Duffee,Record: 9-3-0 (1 NC),"6' 3""",260 lbs.,"78""",Orthodox,"Dec 06, 1985",5.93,37%,2.87,56%,0.72,25%,90%,0.0,bda04c573563cc2e
244,Joe Duffy,Record: 16-5-0,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",2.68,34%,3.78,54%,0.96,66%,64%,0.7,654ae722109a0d31
245,Alexis Dufresne,Record: 6-3-0,"5' 9""",135 lbs.,"68""",Orthodox,"Aug 31, 1990",1.33,27%,3.33,60%,1.5,50%,50%,0.0,4ae4049426e0161d
246,Jessamyn Duke,Record: 3-5-0 (1 NC),"5' 11""",135 lbs.,"73""",Orthodox,"Jun 24, 1986",4.83,53%,4.43,57%,1.27,36%,50%,1.9,a7ddae0be8b78147
247,Kelly Dullanty,Record: 4-2-0,"5' 8""",155 lbs.,--,Orthodox,"Nov 04, 1977",0.0,0%,0.67,75%,0.0,0%,66%,0.0,1a225f04aa6e0739
248,Norma Dumont,Record: 4-1-0,"5' 7""",135 lbs.,"67""",Orthodox,"Oct 01, 1990",1.42,31%,1.99,50%,4.27,33%,100%,0.0,d3f5d33d61cd00c9
249,Evan Dunham,Record: 18-9-1,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39%,3.54,61%,1.82,33%,79%,1.0,e5c9de15bb58b1c6
250,Alex Dunworth,Record: 2-2-0 (1 NC),"5' 8""",155 lbs.,"68.0""",--,--,1.94,31%,8.71,35%,0.0,0%,50%,0.0,31732a614e7a3d1d
251,Tom Duquesnoy,Record: 16-2-0 (1 NC),"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993",3.83,45%,5.3,62%,0.42,25%,46%,0.0,e979c76341f19b22
252,Reuben Duran,Record: 11-7-1,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 02, 1983",3.19,49%,2.61,50%,0.98,23%,25%,0.7,4417980b3e798abf
253,Cody Durden,Record: 11-2-1,"5' 7""",135 lbs.,"67""",Southpaw,"Mar 29, 1991",2.4,42%,4.4,39%,2.0,15%,0%,1.0,7f6ed67d3ed3c036
254,Luiz Dutra,Record: 13-6-1,"5' 11""",170 lbs.,"71""",Orthodox,"May 06, 1982",3.92,50%,4.8,41%,0.0,0%,100%,0.0,2153a7f8396a46cc
255,Rilley Dutro,Record: 11-4-0,"5' 8""",125 lbs.,"70""",Orthodox,"Sep 03, 1987",4.74,54%,5.95,33%,0.0,0%,83%,0.0,43db649da89fac4b
256,Bill Duvall,Record: 1-2-0,"6' 2""",185 lbs.,--,Southpaw,--,0.0,0%,2.4,40%,0.0,0%,0%,0.0,7df4d3c38792b083
257,Merab Dvalishvili,Record: 12-4-0,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",3.91,39%,2.08,61%,7.71,43%,80%,0.3,c03520b5c88ed6b4
258,David Dvorak,Record: 19-3-0,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992",4.5,48%,3.17,63%,0.0,0%,75%,0.0,9ada30894bf04e19
259,Matt Dwyer,Record: 9-4-0,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989",2.57,34%,3.24,54%,0.44,10%,60%,0.0,8f0d576beba1cfcd
260,Rolando Dy,Record: 9-7-1 (1 NC),"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",3.04,37%,4.47,52%,0.3,20%,68%,0.0,55ed59d541f8b90c
261,Yan Cabral,Record: 13-3-0,"5' 11""",155 lbs.,"73""",Orthodox,"May 13, 1983",2.02,47%,1.98,62%,2.89,35%,37%,1.2,7cdd3e5d3aa9cb39
262,Alvin Cacdac,Record: 18-13-0,"5' 6""",125 lbs.,"68.0""",Orthodox,--,1.21,66%,0.61,0%,0.0,0%,0%,0.0,ce7871949b0ed2bf
263,Alex Caceres,Record: 17-12-0 (1 NC),"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",4.15,50%,2.91,65%,0.55,76%,59%,0.8,7aa3d6964eff4877
264,Vince Cachero,Record: 7-3-0,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 07, 1989",5.07,50%,6.87,47%,0.0,0%,28%,0.0,ed2a8cc402173781
265,Priscila Cachoeira,Record: 9-3-0,"5' 7""",125 lbs.,"65""",Orthodox,"Aug 19, 1988",3.84,37%,7.93,42%,0.0,0%,69%,0.0,b1e5bcaad32a3cac
266,Travis Calanoc,Record: 5-1-0,"5' 8""",145 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,90d28fee0af74f2d
267,Ricky Calatayud,Record: 16-2-0,"5' 9""",125 lbs.,--,--,"Oct 10, 1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0,800feaa25700a85f
268,Joanne Calderwood,Record: 14-5-0,"5' 6""",125 lbs.,"65""",Orthodox,"Dec 23, 1985",6.17,48%,4.31,52%,1.9,57%,55%,0.5,12f91bfa8f1f723b
269,Darrion Caldwell,Record: 10-1-0,"5' 10""",135 lbs.,"74.0""",--,"Dec 19, 1987",0.85,34%,0.57,60%,3.41,66%,100%,0.8,b7dc25ee40ee8334
270,Taylor Callens,Record: 6-0-0,"5' 10""",155 lbs.,--,--,"May 21, 1991",0.0,0%,0.0,0%,0.0,0%,0%,0.0,53d471e9bf5f2fc8
271,Cynthia Calvillo,Record: 9-1-1,"5' 4""",125 lbs.,"64""",Orthodox,"Jul 13, 1987",4.21,44%,3.37,66%,1.97,46%,69%,1.3,98215d037be5bcb7
272,Joe Camacho,Record: 13-19-3,"5' 9""",155 lbs.,"70.0""",Orthodox,"Mar 10, 1972",0.31,17%,5.0,42%,0.0,0%,0%,0.0,dfb965c9824425db
273,Frank Camacho,Record: 22-9-0,"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989",6.67,46%,7.31,52%,1.17,45%,72%,0.0,764342d39cdaa54a
274,Fabricio Camoes,Record: 14-9-1,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 23, 1978",1.29,33%,1.85,61%,2.34,32%,20%,1.5,7abe471b61725980
275,Chris Camozzi,Record: 24-13-0,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1986",3.57,44%,2.96,56%,0.27,19%,57%,0.5,6c2030e0a143a94b
276,Brian Camozzi,Record: 7-5-0,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991",3.15,26%,6.39,54%,0.0,0%,0%,0.7,1999ffb5cebc314f
277,Mike Campbell,Record: 13-4-0,"5' 9""",155 lbs.,--,Southpaw,1982.11.15,1.4,26%,1.4,63%,5.26,100%,0%,0.0,f5585e675af7afd4
278,Thomas Campbell,Record: 3-3-0,"5'10""",135.2 lbs,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,d060014a5a039829
279,Shane Campbell,Record: 14-6-0,"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987",3.99,59%,3.19,55%,1.36,28%,82%,0.0,784285b7ae7dd85f
280,John Campetella,Record: 0-1-0,"5' 9""",235 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,31bbd46d57dfbcb7
281,Wagner Campos,Record: 12-10-0,"5' 6""",145 lbs.,"66.0""",Southpaw,"Jul 31, 1981",1.54,41%,2.53,51%,2.71,100%,0%,0.0,db6d5f691aea3fd3
282,Derek Campos,Record: 19-6-0,"5' 9""",155 lbs.,"68.5""",--,"Apr 01, 1988",2.41,23%,10.34,44%,0.0,0%,0%,0.0,aa8dc72b3a1f761c
283,Will Campuzano,Record: 14-6-0,"5' 9""",125 lbs.,"70""",Orthodox,"May 27, 1986",2.43,31%,3.82,57%,0.88,45%,48%,0.2,901cddcbfa079097
284,Aleksa Camur,Record: 6-1-0,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995",3.94,54%,2.49,57%,0.84,33%,20%,0.0,c2a670b22d2e196f
285,Chico Camus,Record: 17-7-0 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985",2.58,41%,2.46,64%,0.77,40%,72%,0.4,32be4b7f7de1c905
286,Asbel Cancio,Record: 0-1-0,"5' 10""",225 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2a7afe14b3a0a058
287,Carlos Candelario,Record: 6-0-0,"5' 8""",125 lbs.,"67""",Southpaw,"Jun 04, 1991",3.87,47%,1.67,57%,0.0,0%,46%,0.0,760a55d5b6098cbe
288,Ronaldo Candido,Record: 6-0-0,"5' 6""",125 lbs.,"64.0""",Southpaw,"Apr 24, 1989",1.67,42%,3.87,52%,8.0,53%,0%,5.0,23fbe02caabcd214
289,Luiz Cane,Record: 17-7-0 (1 NC),"6' 2""",185 lbs.,"77""",Southpaw,"Apr 24, 1981",4.79,41%,5.0,60%,0.56,28%,100%,0.3,24b033b3daf1c9df
290,Guido Cannetti,Record: 8-6-0,"5' 6""",135 lbs.,"68""",Southpaw,"Dec 19, 1979",2.85,51%,2.17,50%,2.64,50%,75%,0.3,d05412b513b19621
291,Jared Cannonier,Record: 13-4-0,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",3.72,51%,2.82,66%,0.18,33%,51%,0.0,13a0275fa13c4d26
292,Jose Canseco,Record: 0-1-0,"6' 4""",240 lbs.,--,Orthodox,"Jul 02, 1964",0.78,10%,4.68,62%,0.0,0%,0%,0.0,03da33a102d9a45f
293,Cody Canterbury,Record: 1-10-0,"5' 8""",155 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,23100e8f71f25a4a
294,Bo Cantrell,Record: 10-10-0,"6' 2""",235 lbs.,--,Orthodox,"Feb 08, 1969",3.16,16%,12.63,0%,0.0,0%,0%,0.0,6750e338922a099d
295,Steve Cantwell,Record: 7-6-0,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 08, 1986",3.63,34%,5.76,55%,0.65,30%,80%,0.7,f1f9e48a0d150757
296,Phil Caracappa,Record: 6-1-0,"5' 8""",135 lbs.,"70""",Orthodox,"Jun 05, 1992",2.93,50%,4.07,29%,1.0,8%,100%,1.0,bd81a97864acf098
